Address  Disassembly                                                                  Destination                                                  
743B70C6 call dword ptr ds:[<&UnhandledExceptionFilter>]                              <kernelbase.UnhandledExceptionFilter>
743B70E2 call dword ptr ds:[<&GetCurrentProcess>]                                     <kernel32.GetCurrentProcess>
743B70E9 call dword ptr ds:[<&TerminateProcess>]                                      <kernel32.TerminateProcess>
743B71FF call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743B7246 call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743B72F1 call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743B766F call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743B76B6 call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743B76FD call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743B7AFF call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743B7B46 call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743B7B8D call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743B7BD4 call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743B7DD0 call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743B7E17 call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743B7E5E call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743B7F50 call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743B8160 call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743BC26F call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743BC2B6 call <JMP.&ApiSetQueryApiSetPresence>                                        <ntdll.ApiSetQueryApiSetPresence>
743BC653 call dword ptr ds:[<&NtGdiDdDDISetVidPnSourceOwner>]                         <gdi32full.NtGdiDdDDISetVidPnSourceOwner>
743BC696 call dword ptr ds:[<&NtGdiDdDDISetVidPnSourceOwner>]                         <gdi32full.NtGdiDdDDISetVidPnSourceOwner>
743BC739 call dword ptr ds:[<&NtGdiGetEntry>]                                         <gdi32full.NtGdiGetEntry>
743BC778 call dword ptr ds:[<&NtGdiGetEntry>]                                         <gdi32full.NtGdiGetEntry>
743BC7C0 call dword ptr ds:[<&NtGdiGetEntry>]                                         <gdi32full.NtGdiGetEntry>
743BC7E5 call dword ptr ds:[<&NtGdiSetRectRgn>]                                       <gdi32full.NtGdiSetRectRgn>
743BC81F call dword ptr ds:[<&NtGdiGetEntry>]                                         <gdi32full.NtGdiGetEntry>
743BC84A call dword ptr ds:[<&LocalAlloc>]                                            <kernelbase.LocalAlloc>
743BC866 call dword ptr ds:[<&LocalFree>]                                             <kernelbase.LocalFree>
743BC8BD call dword ptr ds:[<&RtlFreeHeap>]                                           <ntdll.RtlFreeHeap>
743BC901 call dword ptr ds:[<&RtlFreeHeap>]                                           <ntdll.RtlFreeHeap>
743BC92A call dword ptr ds:[<&RtlFreeHeap>]                                           <ntdll.RtlFreeHeap>
743BC9D0 call dword ptr ds:[<&DeleteColorSpace>]                                      <gdi32full.DeleteColorSpace>
743BC9DC call dword ptr ds:[<&MF16_DeleteObject>]                                     <gdi32full.MF16_DeleteObject>
743BCA0D call dword ptr ds:[<&NtGdiGetEntry>]                                         <gdi32full.NtGdiGetEntry>
743BCA54 call dword ptr ds:[<&NtGdiGetEntry>]                                         <gdi32full.NtGdiGetEntry>
743BCA9B call dword ptr ds:[<&AbortDocImpl>]                                          <gdi32full.AbortDocImpl>
743BCAE3 call dword ptr ds:[<&NtGdiGetEntry>]                                         <gdi32full.NtGdiGetEntry>
743BCB26 call dword ptr ds:[<&NtGdiGetEntry>]                                         <gdi32full.NtGdiGetEntry>
743BCB5C call dword ptr ds:[<&NtGdiGetEntry>]                                         <gdi32full.NtGdiGetEntry>
743BCBA3 call dword ptr ds:[<&NtGdiGetEntry>]                                         <gdi32full.NtGdiGetEntry>
743BCBDC call dword ptr ds:[<&NtGdiGetEntry>]                                         <gdi32full.NtGdiGetEntry>
743BCC4B call dword ptr ds:[<&NtGdiGetCurrentDpiInfo>]                                <gdi32full.NtGdiGetCurrentDpiInfo>
743BCD4B call <JMP.&memset>                                                           <ntdll.memset>
743BCD9C call dword ptr ds:[<&wcsncpy_s>]                                             <ntdll.wcsncpy_s>
